split,playoffs,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
Spring,0,1,10.03,3,Blue,mid,PowerOfEvil,FlyQuest,Syndra,Soraka,Senna,Sett,Gragas,LeBlanc,1823,1,2,0,2,8,1,0,0,0,0,0,0,0,0,0.2633,0.2962,14772,486.1876,0.29589,145.5074,187.2737,11,0.362,5,0.1646,3,35,1.1519,12577,8582,282,0.26992,11725,320,280,40,28,8,10.5321,3200,4373,83,2949,4422,80,251,-49,3,5229,7430,144,4587,7096,127,642,334,17
Spring,0,1,10.03,4,Blue,bot,WildTurtle,FlyQuest,Aphelios,Soraka,Senna,Sett,Gragas,LeBlanc,1823,1,2,0,3,8,1,0,0,0,0,1,0,1,0,0.2633,0.2962,16691,549.3472,0.334328,169.8629,392.2216,11,0.362,6,0.1975,4,31,1.0203,13136,9141,300,0.2875,11250,305,268,37,13,7,10.0384,3331,3684,87,3238,3726,86,93,-42,1,5320,5876,142,4848,5363,135,472,513,7
Spring,0,1,10.03,5,Blue,sup,IgNar,FlyQuest,Thresh,Soraka,Senna,Sett,Gragas,LeBlanc,1823,1,0,0,5,8,1,0,0,0,0,1,0,1,0,0.2633,0.2962,3829,126.023,0.0766966,181.7444,263.7301,55,1.8102,11,0.362,18,97,3.1925,6764,2769,91,0.0871004,5925,30,30,0,0,0,0.9874,2153,2342,12,1997,1979,13,156,363,-1,3541,3714,23,2942,3440,20,599,274,3
Spring,0,1,10.03,6,Red,top,Ssumday,100 Thieves,Aatrox,Rumble,Yuumi,Riven,Lee Sin,Olaf,1823,0,1,1,0,1,8,0,0,0,0,0,0,0,0,0.0329,0.2962,6107,200.9984,0.219993,525.8804,427.0104,12,0.395,5,0.1646,3,30,0.9874,10295,6300,207,0.269789,9875,271,263,8,4,0,8.9194,3229,4754,91,2909,3990,58,320,764,33,4643,7045,132,4531,6732,90,112,313,42
Spring,0,1,10.03,7,Red,jng,Meteos,100 Thieves,Sejuani,Rumble,Yuumi,Riven,Lee Sin,Olaf,1823,0,0,2,0,1,8,0,0,0,0,0,0,0,0,0.0329,0.2962,2741,90.2139,0.0987392,922.9073,636.6319,7,0.2304,11,0.362,7,37,1.2178,7432,3437,113,0.147194,7125,136,17,119,94,8,4.4761,2900,2831,58,3738,3485,59,-838,-654,-1,4079,4116,81,5060,4952,90,-981,-836,-9
Spring,0,1,10.03,8,Red,mid,Ryoma,100 Thieves,Zoe,Rumble,Yuumi,Riven,Lee Sin,Olaf,1823,0,0,1,1,1,8,0,0,0,0,0,0,0,0,0.0329,0.2962,9703,319.3527,0.349532,382.0187,189.0181,13,0.4279,6,0.1975,9,25,0.8228,9591,5596,184,0.239643,9630,255,243,12,12,0,8.3928,2949,4422,80,3200,4373,83,-251,49,-3,4587,7096,127,5229,7430,144,-642,-334,-17
Spring,0,1,10.03,9,Red,bot,Cody Sun,100 Thieves,Xayah,Rumble,Yuumi,Riven,Lee Sin,Olaf,1823,0,0,1,1,1,8,0,0,0,0,0,0,0,0,0.0329,0.2962,6607,217.4547,0.238004,217.2902,145.9353,11,0.362,2,0.0658,5,17,0.5595,10411,6416,211,0.274756,12875,274,245,29,24,0,9.0181,3238,3726,86,3331,3684,87,-93,42,-1,4848,5363,135,5320,5876,142,-472,-513,-7
Spring,0,1,10.03,10,Red,sup,Stunt,100 Thieves,Rakan,Rumble,Yuumi,Riven,Lee Sin,Olaf,1823,0,0,3,1,1,8,0,0,0,0,0,0,0,1,0.0329,0.2962,2602,85.6391,0.093732,335.3812,425.8914,48,1.5798,8,0.2633,11,76,2.5014,5597,1602,52,0.0686187,5325,31,31,0,0,0,1.0203,1997,1979,13,2153,2342,12,-156,-363,1,2942,3440,20,3541,3714,23,-599,-274,-3
Spring,0,1,10.03,1,Blue,top,Kumo,Evil Geniuses,Renekton,Elise,Nautilus,Tahm Kench,Qiyana,Yasuo,1803,0,1,4,2,5,22,0,0,0,0,0,0,0,0,0.1664,0.8985,9054,301.2978,0.193726,831.7804,625.0582,20,0.6656,4,0.1331,10,29,0.9651,9422,5468,181,0.230201,9225,225,223,2,1,0,7.4875,2969,4118,71,3651,4710,79,-682,-592,-8,4618,6517,115,5754,8048,139,-1136,-1531,-24
Spring,0,1,10.03,2,Blue,jng,Svenskeren,Evil Geniuses,Jarvan IV,Elise,Nautilus,Tahm Kench,Qiyana,Yasuo,1803,0,1,8,3,5,22,0,0,0,0,0,0,0,0,0.1664,0.8985,6400,212.9784,0.136939,873.9101,835.4077,8,0.2662,14,0.4659,8,30,0.9983,7516,3562,118,0.149963,7350,126,20,106,90,8,4.193,2959,2419,50,3494,3133,54,-535,-714,-4,4337,4118,81,4839,4748,81,-502,-630,0
Spring,0,1,10.03,3,Blue,mid,Jiizuke,Evil Geniuses,Rumble,Elise,Nautilus,Tahm Kench,Qiyana,Yasuo,1803,0,2,6,3,5,22,0,0,0,0,0,0,0,1,0.1664,0.8985,18506,615.8403,0.395969,630.2163,568.5191,15,0.4992,3,0.0998,7,25,0.8319,9597,5643,187,0.237568,8725,204,182,22,19,0,6.7887,2950,4141,70,3653,4691,84,-703,-550,-14,5053,6872,114,6197,7585,134,-1144,-713,-20
Spring,0,1,10.03,4,Blue,bot,Bang,Evil Geniuses,Xayah,Elise,Nautilus,Tahm Kench,Qiyana,Yasuo,1803,0,0,1,3,5,22,0,0,0,0,0,0,0,0,0.1664,0.8985,9032,300.5657,0.193256,259.8669,235.807,13,0.4326,6,0.1997,7,37,1.2313,10508,6554,218,0.275919,14532,280,256,24,21,0,9.3178,3041,2548,76,3671,3099,93,-630,-551,-17,4700,4609,125,5597,4958,131,-897,-349,-6
Spring,0,1,10.04,1,Blue,top,Impact,Team Liquid,Sett,Xayah,Senna,Syndra,Aatrox,Irelia,1805,1,5,1,5,13,1,1,0,0,0,1,1,0,0,0.4321,0.4654,13167,437.6842,0.188052,737.1191,998.9917,13,0.4321,4,0.133,4,19,0.6316,13015,9057,301,0.25131,10608,233,229,4,4,0,7.7452,3714,4857,90,2742,4021,64,972,836,26,5133,6658,123,4204,6587,101,929,71,22
Spring,0,1,10.04,2,Blue,jng,Broxah,Team Liquid,Gragas,Xayah,Senna,Syndra,Aatrox,Irelia,1805,1,1,0,5,13,1,0,0,0,0,1,0,1,0,0.4321,0.4654,6879,228.6648,0.0982462,479.4349,329.0526,22,0.7313,11,0.3657,9,55,1.8283,9686,5728,190,0.15894,8575,156,24,132,76,9,5.1856,3245,3218,62,2965,3030,63,280,188,-1,4745,5026,90,4223,4655,92,522,371,-2
